company_number,company_name
02468686,Aviva plc
03849958,Admiral Group plc
01417162,Legal & General Group plc
02280426,Direct Line Insurance Group plc
11005345,Marshmallow Financial Services Ltd
10128841,Extracover Ltd (Zego)
03782379,Carillion plc
08140312,London Capital & Finance plc
08126173,Greensill Capital (UK) Ltd
